COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05368,Jericó,AMBOS SEXOS,2018,"13,640"
5,Antioquia,05368,Jericó,HOMBRES,2018,"6,763"
5,Antioquia,05368,Jericó,MUJERES,2018,"6,877"
5,Antioquia,05376,La Ceja,AMBOS SEXOS,2018,"64,889"
5,Antioquia,05376,La Ceja,HOMBRES,2018,"31,495"
5,Antioquia,05376,La Ceja,MUJERES,2018,"33,394"
5,Antioquia,05380,La Estrella,AMBOS SEXOS,2018,"71,545"
5,Antioquia,05380,La Estrella,HOMBRES,2018,"34,557"
5,Antioquia,05380,La Estrella,MUJERES,2018,"36,988"
5,Antioquia,05390,La Pintada,AMBOS SEXOS,2018,"8,114"
5,Antioquia,05390,La Pintada,HOMBRES,2018,"4,072"
5,Antioquia,05390,La Pintada,MUJERES,2018,"4,042"
5,Antioquia,05400,La Unión,AMBOS SEXOS,2018,"21,475"
5,Antioquia,05400,La Unión,HOMBRES,2018,"10,633"
5,Antioquia,05400,La Unión,MUJERES,2018,"10,842"
5,Antioquia,05411,Liborina,AMBOS SEXOS,2018,"10,028"
5,Antioquia,05411,Liborina,HOMBRES,2018,"5,160"
5,Antioquia,05411,Liborina,MUJERES,2018,"4,868"
5,Antioquia,05425,Maceo,AMBOS SEXOS,2018,"8,221"
5,Antioquia,05425,Maceo,HOMBRES,2018,"4,096"
5,Antioquia,05425,Maceo,MUJERES,2018,"4,125"
5,Antioquia,05440,Marinilla,AMBOS SEXOS,2018,"64,645"
5,Antioquia,05440,Marinilla,HOMBRES,2018,"31,906"
5,Antioquia,05440,Marinilla,MUJERES,2018,"32,739"
5,Antioquia,05467,Montebello,AMBOS SEXOS,2018,"6,680"
5,Antioquia,05467,Montebello,HOMBRES,2018,"3,394"
5,Antioquia,05467,Montebello,MUJERES,2018,"3,286"
5,Antioquia,05475,Murindó,AMBOS SEXOS,2018,"4,911"
5,Antioquia,05475,Murindó,HOMBRES,2018,"2,482"
5,Antioquia,05475,Murindó,MUJERES,2018,"2,429"
5,Antioquia,05480,Mutatá,AMBOS SEXOS,2018,"13,991"
5,Antioquia,05480,Mutatá,HOMBRES,2018,"7,065"
5,Antioquia,05480,Mutatá,MUJERES,2018,"6,926"
5,Antioquia,05483,Nariño,AMBOS SEXOS,2018,"10,153"
5,Antioquia,05483,Nariño,HOMBRES,2018,"5,180"
5,Antioquia,05483,Nariño,MUJERES,2018,"4,973"
5,Antioquia,05490,Necoclí,AMBOS SEXOS,2018,"42,281"
5,Antioquia,05490,Necoclí,HOMBRES,2018,"20,842"
5,Antioquia,05490,Necoclí,MUJERES,2018,"21,439"
5,Antioquia,05495,Nechí,AMBOS SEXOS,2018,"25,790"
5,Antioquia,05495,Nechí,HOMBRES,2018,"13,201"
5,Antioquia,05495,Nechí,MUJERES,2018,"12,589"
5,Antioquia,05501,Olaya,AMBOS SEXOS,2018,"3,127"
5,Antioquia,05501,Olaya,HOMBRES,2018,"1,579"
5,Antioquia,05501,Olaya,MUJERES,2018,"1,548"
